Transaction_Amount,Transaction_Type,Hour,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent,is_night,is_business_hours,high_velocity,new_account,Amount_Category,Transaction_Type_enc,Device_Used_enc,Location_enc,Payment_Method_enc
1292.76,ATM Withdrawal,16,Tablet,San Francisco,0,119,13,Debit Card,0,0,1,1,0,High,0,2,6,1
1554.58,ATM Withdrawal,13,Mobile,New York,4,79,3,Credit Card,0,0,1,0,0,High,0,1,5,0
2395.02,ATM Withdrawal,12,Mobile,Unknown,3,115,9,Unknown,0,0,1,0,0,High,0,1,8,4
100.1,Bill Payment,15,Desktop,Chicago,4,3,4,UPI,0,0,1,0,1,Low,2,0,1,3
1490.5,POS Payment,19,Mobile,San Francisco,2,57,7,Credit Card,0,0,0,0,0,High,4,1,6,0
2372.04,ATM Withdrawal,15,Desktop,Boston,3,96,14,Credit Card,0,0,1,1,0,High,0,0,0,0
544.81,Bill Payment,2,Tablet,Boston,3,6,9,UPI,1,1,0,0,1,Medium,2,2,0,3
635.75,ATM Withdrawal,13,Tablet,Boston,2,13,10,Debit Card,0,0,1,0,1,Medium,0,2,0,1
2318.87,Bank Transfer,12,Mobile,San Francisco,4,110,12,Debit Card,0,0,1,1,0,High,1,1,6,1
3656.17,Bill Payment,3,Mobile,Chicago,4,66,3,Net Banking,0,1,0,0,0,High,2,1,1,2
2524.1,Online Purchase,3,Tablet,Houston,1,4,6,Net Banking,0,1,0,0,1,High,3,2,2,2
2733.84,Bill Payment,20,Mobile,San Francisco,2,68,1,Credit Card,0,0,0,0,0,High,2,1,6,0
2376.37,Bank Transfer,0,Mobile,Boston,1,25,7,Net Banking,0,1,0,0,1,High,1,1,0,2
1924.48,Online Purchase,0,Tablet,Chicago,0,113,1,Net Banking,0,1,0,0,0,High,3,2,1,2
968.78,ATM Withdrawal,15,Unknown,San Francisco,1,52,13,Net Banking,0,0,1,1,0,Medium,0,3,6,2
737.08,Bill Payment,12,Tablet,Houston,2,65,4,Net Banking,0,0,1,0,0,Medium,2,2,2,2
3960.52,Bank Transfer,13,Tablet,Miami,2,68,8,Debit Card,0,0,1,0,0,High,1,2,4,1
2327.71,Online Purchase,20,Unknown,Miami,4,21,1,Debit Card,0,0,0,0,1,High,3,3,4,1
3952.65,POS Payment,21,Tablet,Boston,1,61,14,Net Banking,0,0,0,1,0,High,4,2,0,2
